ID,Date,Time,Balance Before,Balance After,P&L,Action
J23000066,2023-09-21,09:31,112736.56,114756.31,+2019.75,Close short position for symbol OANDA:GBPJPY at price 182.433 for 211884 shares. Position AVG Price was 183.847000, currency: JPY, rate: 0.006741, last updated rate on 2023-09-21T01:42:47Z, point value: 1.000000
J23000066,2023-09-21,08:03,95189.88,112736.56,+17546.68,Close short position for symbol OANDA:EURUSD at price 1.06285 for 1818309 shares. Position AVG Price was 1.072500, currency: USD, point value: 1.000000
J23000066,2023-09-21,07:38,97324.40,95189.88,-2134.52,Close long position for symbol OANDA:XAUUSD at price 1926.210 for 292 shares. Position AVG Price was 1933.520000, currency: USD, point value: 1.000000
J23000066,2023-09-20,09:02,98332.72,97324.40,-1008.32,Close long position for symbol OANDA:USDJPY at price 147.655 for 880966 shares. Position AVG Price was 147.824000, currency: JPY, rate: 0.006766, last updated rate on 2023-09-20T13:43:05Z, point value: 1.000000
J23000066,2023-09-20,06:51,99418.72,98332.72,-1086.00,Close short position for symbol OANDA:NZDUSD at price 0.59539 for 600000 shares. Position AVG Price was 0.593580, currency: USD, point value: 1.000000
J23000066,2023-09-19,07:23,100215.61,99418.72,-796.89,Close short position for symbol SAXO:GBPJPY at price 183.493 for 582892 shares. Position AVG Price was 183.291000, currency: JPY, rate: 0.006768, last updated rate on 2023-09-19T11:51:20Z, point value: 1.000000
J23000066,2023-09-19,02:39,100112.11,100215.61,+103.50,Close short position for symbol OANDA:NZDUSD at price 0.59315 for 450000 shares. Position AVG Price was 0.593380, currency: USD, point value: 1.000000
J23000066,2023-09-14,07:30,100204.57,100112.11,-92.47,Close long position for symbol OANDA:EURUSD at price 1.06885 for 45550 shares. Position AVG Price was 1.070880, currency: USD, point value: 1.000000
J23000066,2023-09-14,12:51,100200.93,100204.57,+3.64,Close short position for symbol OANDA:EURUSD at price 1.07465 for 45550 shares. Position AVG Price was 1.074730, currency: USD, point value: 1.000000
J23000066,2023-09-13,11:11,100110.41,100200.93,+90.52,Close short position for symbol OANDA:XAUUSD at price 1909.640 for 292 shares. Position AVG Price was 1909.950000, currency: USD, point value: 1.000000
J23000066,2023-09-13,03:35,99946.40,100110.41,+164.01,Close long position for symbol OANDA:EURUSD at price 1.07485 for 40199 shares. Position AVG Price was 1.070770, currency: USD, point value: 1.000000
